slice,ticker,date,time,expiry,tenor_years,forward_raw,forward_dea,forward_shift_bp,implied_carry,corrected_quotes,median_eep_call_bp,median_eep_put_bp,max_eep_bp,rounds,skipped_floor,max_forward_shift_bp
daily,AMD,2026-08-17,1530,2026-08-24,0.0191780822,507.2015970798,507.3144812756,2.2256277681,-0.1479495943,131,0.1140751948,17.8048159478,37.8100474753,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-08-26,0.0246575342,506.9267969011,507.0225278023,1.8884561214,-0.0833172506,111,0.0814940993,16.3773810759,33.5010352356,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-08-28,0.0301369863,506.4459494221,506.5149621506,1.3626869478,-0.0280548171,126,0.1092513819,13.8678758242,30.7433714031,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-08-31,0.0383561644,509.1059549126,509.3624873642,5.0388813777,-0.1600925601,43,0.2112396450,4.5097728543,24.3241753439,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-09-04,0.0493150685,507.3543892866,507.4874118978,2.6218874618,-0.0413230407,123,0.1976374264,23.3349154708,40.4733459087,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-09-11,0.0684931507,507.6689664325,507.8058190123,2.6957050542,-0.0283150735,122,0.1871566965,25.6257252128,45.7191560014,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-09-18,0.0876712329,507.5587885562,507.7437898686,3.6449238301,-0.0124437433,92,0.3636450734,40.1332152929,57.4570913093,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-09-25,0.1068493151,509.2421366208,509.5270646824,5.5951391519,-0.0361925703,141,0.2691369663,25.9845673965,74.7325027984,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-10-02,0.1260273973,510.7261230137,511.0508997652,6.3591176726,-0.0485891554,152,0.2583586644,27.8438377993,97.8827308802,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-10-16,0.1643835616,509.5600307496,509.9137952937,6.9425489190,-0.0147891500,102,0.2794425523,65.9771771356,106.7525426719,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-11-20,0.2602739726,511.5660591739,512.0636626270,9.7270615228,-0.0110588836,119,0.4887389619,56.5736923459,154.6047774858,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-12-18,0.3369863014,512.9167755523,513.5223119726,11.8057441126,-0.0081007310,127,0.5126541779,58.8496904412,189.3061530264,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2027-01-15,0.4136986301,514.5475493809,515.3732787953,16.0476794679,-0.0078349167,131,0.6986064026,59.9862376031,226.3791500379,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2027-02-19,0.5095890411,517.3704930780,518.4887993404,21.6151921563,-0.0106223508,124,0.7384996779,45.7342434542,227.4518254567,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2027-03-19,0.5863013699,518.7743631050,520.2186697229,27.8407477445,-0.0097186032,134,0.6845606431,86.2222566115,314.2488365279,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2027-06-17,0.8328767123,524.4405951322,526.2858109616,35.1844583832,-0.0090086392,147,0.9669002931,100.5507579911,408.9248960082,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2027-09-17,1.0849315068,529.5787879541,532.6983043170,58.9056139305,-0.0085890589,150,1.3067581637,132.0462334494,497.8141899267,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2027-12-17,1.3342465753,535.6950546428,539.2610587362,66.5677993949,-0.0081092916,147,1.6913365859,162.2313794952,582.4722645112,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2028-01-21,1.4301369863,537.2606431441,541.2276571466,73.8377927569,-0.0072216569,150,1.6348964354,171.5682143829,616.7979387415,2,0,73.8377927569
daily,AMD,2026-08-18,1530,2026-08-19,0.0027397260,480.1244945881,480.1220058513,-0.0518352405,0.1047282169,65,1.3731504050,0.0365524802,1.9106481853,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-08-21,0.0082191781,480.2743079028,480.2757907194,0.0308743690,0.0211714469,141,0.1101815590,1.0383505565,3.4863315652,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-08-24,0.0164383562,480.3471067392,480.3486622558,0.0323831775,0.0202758380,126,0.1310590127,1.8611471118,4.5626530077,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-08-26,0.0219178082,480.6964323121,480.7305406816,0.7095615270,-0.0115909206,138,0.1830801608,5.6123221788,9.8008087126,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-08-28,0.0273972603,480.5531635396,480.5670861075,0.2897196173,0.0107076703,123,0.2428020970,5.8572315509,13.3503638740,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-08-31,0.0356164384,480.7577544711,480.7835148877,0.5358294546,0.0043268660,122,0.1681128603,5.4003657982,12.8465097831,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-09-02,0.0410958904,480.4662627344,480.4691229271,0.0595295215,0.0247123254,46,0.1767119920,1.2313186465,3.2177908841,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-09-04,0.0465753425,480.9929443023,481.0384803433,0.9467091281,0.0008290042,125,0.2019854056,11.8526237419,24.5221868098,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-09-11,0.0657534247,481.2279008835,481.2763176723,1.0061093447,0.0041061068,120,0.3347493521,15.0647707677,29.7835240644,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-09-18,0.0849315068,481.7698502192,481.8303377516,1.2555275585,-0.0018227978,94,0.3439666911,29.7708252887,48.2591100250,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-09-25,0.1041095890,482.1029556536,482.1981529027,1.9746248793,-0.0018065945,139,0.2939006453,17.5814335770,50.2639253453,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-10-02,0.1232876712,481.8050403944,481.8973767337,1.9164668604,0.0094549594,144,0.3137810236,14.4015861345,50.7450422511,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-10-16,0.1616438356,483.2975566262,483.5811352370,5.8675779945,-0.0052168866,95,0.4471073286,52.5760763515,91.0632131918,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-11-20,0.2575342466,485.1003520737,485.4893205779,8.0183100785,-0.0039313389,113,0.5392192555,57.9055805102,139.7455951854,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2026-12-18,0.3342465753,486.4325639178,486.9593782099,10.8301608723,-0.0031079156,127,0.6675072526,54.5680440286,175.9174174364,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2027-01-15,0.4109589041,488.1289481983,488.8289023389,14.3395335016,-0.0043776310,124,0.8677199942,72.9628129515,220.0278347860,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2027-02-19,0.5068493151,490.0547308750,491.0671580296,20.6594710915,-0.0049870838,119,0.5857352325,54.9843260578,228.9266622691,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2027-03-19,0.5835616438,491.8161276473,492.8649951495,21.3264153666,-0.0053218708,133,0.6456441884,90.8250227334,309.2318964964,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2027-06-17,0.8301369863,497.1066523920,498.9103266175,36.2834457524,-0.0065147185,144,1.0050482282,112.8040763855,428.3255128619,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2027-09-17,1.0821917808,501.9497625664,504.3127016181,47.0752100678,-0.0053671326,153,1.1513355015,138.7274660181,532.1664729467,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2027-12-17,1.3315068493,506.8078665653,510.2097089205,67.1229193484,-0.0049879606,152,1.5946699950,174.3256778393,633.6532702069,2,0,71.3634263921
daily,AMD,2026-08-18,1530,2028-01-21,1.4273972603,509.5957263058,513.2323760162,71.3634263921,-0.0058831447,151,1.5884818626,190.1750909338,671.2278470807,2,0,71.3634263921
daily,AMD,2026-08-19,1530,2026-08-21,0.0054794521,466.8993588800,466.9014036178,0.0437939727,0.0059180546,131,0.0615498041,0.9792942993,2.4793909038,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-08-24,0.0136986301,466.9984486626,467.0098891342,0.2449787910,0.0080511613,125,0.1196393750,2.0835431471,4.7932638652,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-08-26,0.0191780822,467.4535839599,467.4823680666,0.6157639530,-0.0361932920,144,0.1269073744,6.9796049112,11.0395913237,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-08-28,0.0246575342,467.2544222260,467.2746920439,0.4338068703,-0.0017432465,125,0.1716022884,6.4585421932,13.1705024546,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-08-31,0.0328767123,467.3779486081,467.4084036966,0.6516158643,-0.0005751208,119,0.1845687130,5.8297692741,12.9097200616,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-09-02,0.0383561644,467.4927570558,467.5416923786,1.0467610912,-0.0025352186,119,0.2180740026,6.2708138005,14.1593875923,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-09-04,0.0438356164,467.8213988496,467.8768759244,1.1858601374,-0.0138494482,123,0.1944564469,14.5908912258,26.8261056067,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-09-11,0.0630136986,467.9939879362,468.0536043194,1.2738707071,-0.0041416645,125,0.2428648804,17.8962001203,33.9533815221,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-09-18,0.0821917808,468.3328955259,468.4459042960,2.4130009066,-0.0045626464,95,0.2584331271,32.1572276465,50.1923554128,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-09-25,0.1013698630,468.9268194709,469.1002230614,3.6978817012,-0.0103435624,136,0.2924462471,22.7041387374,56.8925603081,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-10-02,0.1205479452,468.8722049021,469.0450798739,3.6870381743,-0.0017330439,142,0.2176810546,22.0096009841,59.3746225369,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-10-16,0.1589041096,470.0651590217,470.2412085070,3.7452145070,-0.0079322642,95,0.5667643278,58.1928214050,94.8250292286,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-11-20,0.2547945205,471.6914771923,472.0937408220,8.5281089269,-0.0056703133,112,0.5490092934,65.4815345230,148.5434865430,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2026-12-18,0.3315068493,473.5743308870,474.0192787077,9.3955223434,-0.0076186245,125,0.5459354465,69.9950023185,193.3346894445,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2027-01-15,0.4082191781,474.7169754405,475.4774270120,16.0190515807,-0.0062111805,125,0.6150366601,80.0240559061,230.1016116658,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2027-02-19,0.5041095890,476.7109350280,477.6903588595,20.5454450381,-0.0066426475,118,0.7620495447,61.4779803347,244.3641068357,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2027-03-19,0.5808219178,478.3372717677,479.3682411111,21.5531886023,-0.0065183793,131,0.7831286212,92.1701067099,324.1569248954,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2027-06-17,0.8273972603,482.9873891578,484.6026871533,33.4438958803,-0.0057793878,148,0.7654671804,116.3170690597,446.3294757918,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2027-09-17,1.0794520548,488.1013656980,490.4866366694,48.8683527448,-0.0060367887,149,1.1670538574,148.3726027203,559.4127717710,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2027-12-17,1.3287671233,493.2687085642,496.2812906103,61.0738527257,-0.0056453324,151,1.4752444941,180.8048704431,676.7588470933,2,0,73.6393388851
daily,AMD,2026-08-19,1530,2028-01-21,1.4246575342,494.6608279045,498.3034775384,73.6393388851,-0.0052147921,153,1.4396086120,194.9680626962,708.7058407488,2,0,73.6393388851
daily,AMD,2026-08-20,1530,2026-08-21,0.0027397260,464.8752449290,464.8873728245,0.2608849513,-0.0780863411,102,0.0360941252,1.7864588806,2.6598579980,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-08-24,0.0109589041,464.8989273031,464.9091623406,0.2201561866,0.0044314087,119,0.0976561269,2.6205097876,5.8432346713,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-08-26,0.0164383562,465.0015473186,465.0151430589,0.2923805396,0.0016348736,136,0.0977883660,3.9823890346,7.4491201711,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-08-28,0.0219178082,465.2001650643,465.2280612728,0.5996603308,-0.0102496091,150,0.1146811861,6.9893374525,15.1108094830,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-08-31,0.0301369863,465.2946655333,465.3345741540,0.8577063897,-0.0047848992,144,0.1323933444,6.6698212464,15.1696729852,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-09-02,0.0356164384,464.5243627905,464.5093833992,-0.3224672910,0.0515757616,163,1.1166536286,0.2604856001,6.5410983041,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-09-04,0.0410958904,465.4256579157,465.4663373676,0.8740268448,-0.0003608564,181,0.1435341503,7.6510042299,25.1717453783,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-09-11,0.0602739726,465.8769873648,465.9483293311,1.5313477211,-0.0054408008,122,0.2679303127,19.1153245770,32.3441737857,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-09-18,0.0794520548,466.3091177936,466.3903838433,1.7427506040,-0.0069771677,89,0.1935714798,33.5836967876,50.5458732721,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-09-25,0.0986301370,466.3178385169,466.4529300941,2.8969849756,0.0003263695,138,0.2756570744,19.5921541420,50.3850806535,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-10-02,0.1178082192,466.1744081115,466.2562321369,1.7552234517,0.0099663477,139,0.3528878356,16.8525625832,51.0942874246,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-10-16,0.1561643836,467.9147286086,468.1511681124,5.0530468343,-0.0089298637,100,0.4349742856,58.9517284913,94.5026043159,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-11-20,0.2520547945,469.2427030137,469.6298343526,8.2501301876,-0.0031120155,115,0.5368732865,61.5835036289,140.2980447499,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2026-12-18,0.3287671233,470.7858139193,471.2747857234,10.3862901060,-0.0039279204,122,0.4337448641,71.5899922398,183.9918430574,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2027-01-15,0.4054794521,472.2218299872,472.7930240004,12.0958832689,-0.0035732900,123,0.9286506101,75.6441140886,224.0065721498,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2027-02-19,0.5013698630,474.1171703843,474.8902752560,16.3061985515,-0.0040782916,113,0.9426365085,58.9999763103,234.1927251047,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2027-03-19,0.5780821918,475.4713948349,476.4736769381,21.0797560904,-0.0039623244,131,0.8874558121,89.5201296748,314.7989345047,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2027-04-16,0.6547945205,476.7288943536,477.8265255227,23.0242215666,-0.0031189056,51,1.4522211909,28.1067346065,79.9784779550,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2027-06-17,0.8246575342,480.2017740249,481.9258372281,35.9028911696,-0.0045555998,149,0.9405221559,115.3722185979,441.8653362360,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2027-09-17,1.0767123288,484.5514129762,486.8026845124,46.4609425519,-0.0032186896,149,1.0352183856,146.4975662640,557.4541710488,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2027-12-17,1.3260273973,489.6998262243,492.8288348342,63.8964615124,-0.0037749793,150,1.3456387018,178.4489657576,672.5339500169,2,0,64.1121364647
daily,AMD,2026-08-20,1530,2028-01-21,1.4219178082,491.3213501680,494.4713163129,64.1121364647,-0.0029490882,153,1.5227562815,192.3200850485,708.2152777098,2,0,64.1121364647
daily,AMD,2026-08-21,1530,2026-08-24,0.0082191781,472.2999376251,472.3024249112,0.0526632743,0.0244332310,54,0.0337971851,0.9148607408,2.7467474621,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-08-26,0.0136986301,472.4275602357,472.4343724445,0.1441958372,0.0094442387,128,0.1026989246,3.2904253477,7.6360632138,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-08-28,0.0191780822,472.5536756849,472.5671777624,0.2857257950,0.0029298045,137,0.1879052148,7.3343424977,12.5985993005,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-08-31,0.0273972603,472.6449561947,472.6733671774,0.6011062283,0.0052316021,134,0.1249883638,5.3760170710,12.7540999231,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-09-02,0.0328767123,472.8942588247,472.9413427389,0.9956541723,-0.0065566142,149,0.1337284901,6.7907827890,17.0805809122,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-09-04,0.0383561644,472.9256189048,472.9655367891,0.8440626322,-0.0015338153,173,0.2069755401,7.9299306351,24.1551315164,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-09-11,0.0575342466,473.3463944779,473.3760144392,0.6257565634,-0.0034543239,120,0.2447938921,17.9548042860,30.3948951742,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-09-18,0.0767123288,473.6186391550,473.6886228539,1.4776381912,-0.0017117339,87,0.2353427668,28.4798827470,44.7949915092,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-09-25,0.0958904110,474.3017777641,474.4034363754,2.1433318624,-0.0096218475,132,0.2202364827,25.6304975453,53.6451846148,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-10-02,0.1150684932,474.2650794012,474.3928590991,2.6942674760,-0.0016689964,141,0.3048033581,20.7010732566,59.2156469807,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-10-16,0.1534246575,475.1469854910,475.3528738561,4.3331510342,-0.0049508915,100,0.4464741849,53.6543976973,91.2239208273,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-11-20,0.2493150685,477.0170257933,477.3826578470,7.6649686278,-0.0048616721,117,0.4521187880,58.1811450233,139.3711992529,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2026-12-18,0.3260273973,478.3037044372,478.7994281085,10.3642030525,-0.0036981376,117,0.5462290565,66.7306776953,179.3781623917,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2027-01-15,0.4027397260,480.2590136018,480.9399648449,14.1788331662,-0.0064872459,131,0.4557555064,77.2216140237,223.1192347558,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2027-02-19,0.4986301370,482.6435597319,483.5654795546,19.1014632655,-0.0084766773,118,0.7077336123,58.2762897994,238.3578590646,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2027-03-19,0.5753424658,483.8326078314,485.1046583261,26.2911278422,-0.0075907574,134,0.5482587859,98.7910509035,318.7688357205,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2027-04-16,0.6520547945,485.3580165318,486.5208810761,23.9589025979,-0.0065134802,50,1.3382539698,29.4169600617,80.5897187660,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2027-06-17,0.8219178082,488.1588885813,489.8079771892,33.7818002794,-0.0051826687,147,0.9718969640,115.4016691951,430.7676412065,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2027-09-17,1.0739726027,494.1476486611,496.6321732545,50.2789925258,-0.0072853942,149,1.2100460647,143.8279591802,555.2175153046,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2027-12-17,1.3232876712,498.5178205770,501.5813935827,61.4536307281,-0.0051914259,153,1.3933212812,174.8837307442,655.8811109610,2,0,74.8355558036
daily,AMD,2026-08-21,1530,2028-01-21,1.4191780822,500.3742247362,504.1188030580,74.8355558036,-0.0054501540,155,1.5069959690,189.6375210147,697.6738574947,2,0,74.8355558036
daily,AMD,2026-08-24,1538,2026-08-26,0.0054794521,456.5498024898,456.5595107557,0.2126441810,-0.0978239115,105,0.0178975394,5.2239158944,7.2333523300,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-08-28,0.0109589041,456.7027862234,456.7323023268,0.6462869130,-0.0644709032,135,0.0946024596,9.1647146048,15.6361124091,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-08-31,0.0191780822,456.9264011274,456.9618614390,0.7760617783,-0.0467820647,139,0.1257338418,12.1542320477,22.1189327931,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-09-02,0.0246575342,457.5774099817,457.6604000804,1.8136843493,-0.0899034620,151,0.1638015854,20.7780232248,32.9774959045,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-09-04,0.0301369863,457.1331511091,457.1747442589,0.9098694702,-0.0314291421,178,0.1598471027,15.8702179798,31.0828540498,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-09-11,0.0493150685,457.4639516626,457.5255589685,1.3467138922,-0.0200069757,138,0.3322308633,23.3586824658,37.1886831232,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-09-18,0.0684931507,457.7757155302,457.8784946816,2.2451857533,-0.0150402695,118,0.4349455492,29.9985219717,50.6044846447,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-09-25,0.0876712329,458.2190911770,458.3610961963,3.0990637888,-0.0154983336,135,0.2624862931,31.7350768542,55.2709393329,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-10-02,0.1068493151,458.4137353940,458.5588207316,3.1649430723,-0.0101239774,140,0.4028425924,29.1169766015,64.4953763381,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-10-16,0.1452054795,459.2616176257,459.4890519098,4.9521726918,-0.0114161947,102,0.4489934685,64.3585891247,98.7990360206,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-11-20,0.2410958904,461.2036364088,461.5916907728,8.4139484898,-0.0100054304,113,0.6054480476,80.0665962906,162.2040354279,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2026-12-18,0.3178082192,462.3565038231,462.8762837413,11.2419726735,-0.0068503996,121,0.4779083585,84.5302500826,201.0197348571,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2027-01-15,0.3945205479,464.4402932672,465.2595554722,17.6397745162,-0.0108161644,127,0.5521746332,92.5901909090,250.4712671617,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2027-02-19,0.4904109589,465.9735320497,466.9428264472,20.8014904456,-0.0082740809,115,0.7888569963,65.6159080336,260.5978499442,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2027-03-19,0.5671232877,467.6992966741,468.8688908015,25.0073954722,-0.0089281745,129,0.7908620945,107.8970444679,341.7212853678,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2027-04-16,0.6438356164,469.5154549032,470.6234594479,23.5988939907,-0.0088160846,69,1.3586083288,27.0724769535,142.5039614573,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2027-06-17,0.8136986301,472.9550685021,474.8226257120,39.4869900801,-0.0093955977,144,0.9479814679,134.6514427521,471.7649090619,2,0,72.5722576233
daily,AMD,2026-08-24,1538,2027-09-17,1.0657534247,477.2997376623,479.7620006283,51.5873521755,-0.0070552889,149,1.1521345437,165.6211862997,592.6614501509,2,0,72.5722576233
